rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence,num_genes_associated_with_rxn
GAO1,Ganglioside O-acetylation,Sphingolipid metabolism,1946,,SLC33A1,"1.00 * Acetyl-CoA [c] + 1.00 * GD3 [c] --> 1.00 * Coenzyme A [c] + 1.00 * 9-O-Acetylated GD3 [c]
SLC33A1",4.0,1
GAO2,Ganglioside O-acetylation,Sphingolipid metabolism,1948,,SLC33A1,"1.00 * Acetyl-CoA [c] + 1.00 * GT3 [c] --> 1.00 * Coenzyme A [c] + 1.00 * 9-O-Acetylated GT3 [c]
SLC33A1",4.0,1
GAPD,glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/gluconeogenesis,1950,1.2.1.12,GAPDHS; GM15294,"1.00 * hydrogenphosphate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * Glyceraldehyde 3-phosphate [c] --> 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3-Phospho-D-glyceroyl phosphate [c]
GAPDHS; GM15294",0.0,2
GARFT,phosphoribosylglycinamide formyltransferase,Purine synthesis,1951,2.1.2.2,GART,"1.00 * 10-Formyltetrahydrofolate [c] + 1.00 * N1-(5-Phospho-D-ribosyl)glycinamide [c] --> 1.00 * proton [c] + 1.00 * 5,6,7,8-Tetrahydrofolate [c] + 1.00 * N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide [c]
GART",4.0,1
GBA,Glucosylceramidase,Sphingolipid metabolism,1955,3.2.1.45,GBA,"1.00 * Water [c] + 1.00 * D-glucosyl-N-acylsphingosine [c] --> 1.00 * D-glucose [c] + 1.00 * N-acylsphingosine [c]
GBA",0.0,1
GCALDD,Glycolaldehyde dehydrogenase,Glyoxylate and dicarboxylate metabolism,1960,1.2.1.21,ALDH1A1; ALDH1A2; ALDH1A3; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH7A1; ALDH9A1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * glycolaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * glycolate [c]
ALDH1A1; ALDH1A2; ALDH1A3; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH7A1; ALDH9A1",2.0,9
GCALDDm,"Glycolaldehyde dehydrogenase, mitochondrial",Glyoxylate and dicarboxylate metabolism,1961,1.2.1.3,ALDH18A1; ALDH1B1; ALDH2; ALDH4A1; ALDH5A1; ALDH6A1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * glycolaldehyde [m] --> 2.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * glycolate [m]
ALDH18A1; ALDH1B1; ALDH2; ALDH4A1; ALDH5A1; ALDH6A1",2.0,6
GCC2am,"glycine-cleavage complex (lipoamide), mitochondrial","Glycine, serine, alanine and threonine metabolism",1962,2.1.2.10,AMT; DLD; GCSH; GLDC,"1.00 * proton [m] + 1.00 * Glycine [m] + 1.00 * lipoamide [m] --> 1.00 * carbon dioxide [m] + 1.00 * S-aminomethyldihydrolipoamide [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCC2bim,"glycine-cleavage system (lipoamide) irreversible, mitochondrial","Glycine, serine, alanine and threonine metabolism",1963,1.8.1.4,AMT; DLD; GCSH; GLDC,"1.00 * 5,6,7,8-Tetrahydrofolate [m] + 1.00 * S-aminomethyldihydrolipoamide [m] --> 1.00 * Ammonium [m] + 1.00 * dihydrolipoamide [m] + 1.00 * 5,10-Methylenetetrahydrofolate [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCC2cm,"glycine-cleavage complex (lipoamide), mitochondrial","Glycine, serine, alanine and threonine metabolism",1964,2.1.2.10,AMT; DLD; GCSH; GLDC,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * dihydrolipoamide [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * lipoamide [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCCam,"glycine-cleavage complex (lipoylprotein), mitochondrial","Glycine, serine, alanine and threonine metabolism",1965,2.1.2.10,AMT; DLD; GCSH; GLDC,"1.00 * proton [m] + 1.00 * Glycine [m] + 1.00 * Lipoylprotein [m] --> 1.00 * carbon dioxide [m] + 1.00 * S-Aminomethyldihydrolipoylprotein [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCCbim,"glycine-cleavage complex (lipoylprotein) irreversible, mitochondrial","Glycine, serine, alanine and threonine metabolism",1966,1.8.1.4,AMT; DLD; GCSH; GLDC,"1.00 * 5,6,7,8-Tetrahydrofolate [m] + 1.00 * S-Aminomethyldihydrolipoylprotein [m] --> 1.00 * Ammonium [m] + 1.00 * 5,10-Methylenetetrahydrofolate [m] + 1.00 * Dihydrolipolprotein [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCCcm,"glycine-cleavage complex (lipoylprotein), mitochondrial","Glycine, serine, alanine and threonine metabolism",1967,2.1.2.10,AMT; DLD; GCSH; GLDC,"1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * Dihydrolipolprotein [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Lipoylprotein [m]
AMT; DLD; GCSH; GLDC",4.0,4
GCHOLAt,glycocholate transport via bicarbonate countertransport,"Transport, extracellular",1968,,SLCO1A1; SLCO1B2,"1.00 * Bicarbonate [c] + 1.00 * glycocholate [e] --> 1.00 * Bicarbonate [e] + 1.00 * glycocholate [c]
SLCO1A1; SLCO1B2",4.0,2
GCHOLAt2,glycocholate transport via sodium cotransport,"Transport, extracellular",1969,,SLC10A1; SLC10A2,"2.00 * Sodium [e] + 1.00 * glycocholate [e] --> 2.00 * Sodium [c] + 1.00 * glycocholate [c]
SLC10A1; SLC10A2",4.0,2
GCHOLAt3,ABC bile acid transporter,"Transport, extracellular",1970,,ABCB11; ABCC3,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * glycocholate [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * glycocholate [e]
ABCB11; ABCC3",4.0,2
GF6PTA,glutamine-fructose-6-phosphate transaminase,Aminosugar metabolism,1980,2.6.1.16,GFPT1; GFPT2,"1.00 * L-glutamine [c] + 1.00 * D-Fructose 6-phosphate [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * D-Glucosamine 6-phosphate [c]
GFPT1; GFPT2",4.0,2
GFUCS,GDP-L-fucose synthase,Fructose and mannose metabolism,1981,1.1.1.271,TSTA3,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * GDP-4-dehydro-6-deoxy-alpha-D-mannose(2-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * GDP-L-fucose(2-) [c]
TSTA3",0.0,1
GGH_10FTHF5GLUe,"Gamma-glutamyl hydrolase (10FTHF5GLU), extracellular",Folate metabolism,1982,,GGH,"4.00 * Water [e] + 1.00 * 10-formyltetrahydrofolate-[Glu](5) [e] --> 4.00 * L-glutamate(1-) [e] + 1.00 * 10-Formyltetrahydrofolate [e]
GGH",4.0,1
GGH_10FTHF6GLUe,"Gamma-glutamyl hydrolase (10FTHF6GLU), extracellular",Folate metabolism,1984,,GGH,"1.00 * Water [e] + 1.00 * 10-formyltetrahydrofolate-[Glu](6) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * 10-formyltetrahydrofolate-[Glu](5) [e]
GGH",4.0,1
GGH_10FTHF7GLUe,"Gamma-glutamyl hydrolase (10FTHF7GLU), extracellular",Folate metabolism,1986,,GGH,"1.00 * Water [e] + 1.00 * 10-formyltetrahydrofolate-[Glu](7) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * 10-formyltetrahydrofolate-[Glu](6) [e]
GGH",4.0,1
GGH_5DHFe,"Gamma-glutamyl hydrolase (5DHF), extracellular",Folate metabolism,1988,,GGH,"4.00 * Water [e] + 1.00 * pentaglutamyl folate (DHF) [e] --> 4.00 * L-glutamate(1-) [e] + 1.00 * 7,8-Dihydrofolate [e]
GGH",4.0,1
GGH_5THFe,"Gamma-glutamyl hydrolase (5THF), extracellular",Folate metabolism,1990,,GGH,"4.00 * Water [e] + 1.00 * pentaglutamyl folate (THF) [e] --> 4.00 * L-glutamate(1-) [e] + 1.00 * 5,6,7,8-Tetrahydrofolate [e]
GGH",4.0,1
GGH_6DHFe,"Gamma-glutamyl hydrolase (6DHF), extracellular",Folate metabolism,1992,,GGH,"1.00 * Water [e] + 1.00 * hexaglutamyl folate (DHF) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * pentaglutamyl folate (DHF) [e]
GGH",4.0,1
GGH_6THFe,"Gamma-glutamyl hydrolase (6THF), extracellular",Folate metabolism,1994,,GGH,"1.00 * Water [e] + 1.00 * hexaglutamyl folate  (THF) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * pentaglutamyl folate (THF) [e]
GGH",4.0,1
GGH_7DHFe,"Gamma-glutamyl hydrolase (7DHF), extracellular",Folate metabolism,1996,,GGH,"1.00 * Water [e] + 1.00 * heptaglutamyl folate (DHF) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * hexaglutamyl folate (DHF) [e]
GGH",4.0,1
GGH_7THFe,"Gamma-glutamyl hydrolase (7THF), extracellular",Folate metabolism,1998,,GGH,"1.00 * Water [e] + 1.00 * heptaglutamyl folate (THF) [e] --> 1.00 * L-glutamate(1-) [e] + 1.00 * hexaglutamyl folate  (THF) [e]
GGH",4.0,1
GGLUCT,gamma-glutamylcyclotransferase,Glutathione metabolism,2000,2.3.2.4,GGCT,"1.00 * 5-L-Glutamyl-L-alanine [e] --> 1.00 * L-alanine [c] + 1.00 * 5-oxoprolinate [c]
GGCT",4.0,1
GGNG,glycogenin self-glucosylation,Starch and sucrose metabolism,2001,,GYG; GYS1; GYS2,"8.00 * UDPglucose [c] + 1.00 * Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) [c] --> 8.00 * proton [c] + 8.00 * UDP [c] + 1.00 * primed glycogenin (glycogenin-8[1,4-Glc]) [c]
GYG; GYS1; GYS2",4.0,3
GHMT2r,"glycine hydroxymethyltransferase, reversible","Glycine, serine, alanine and threonine metabolism",2006,2.1.2.1,SHMT1,"1.00 * 5,6,7,8-Tetrahydrofolate [c] + 1.00 * L-serine [c] --> 1.00 * Water [c] + 1.00 * Glycine [c] + 1.00 * 5,10-Methylenetetrahydrofolate [c]
SHMT1",4.0,1
GHMT2rm,"glycine hydroxymethyltransferase, reversible, mitochondrial","Glycine, serine, alanine and threonine metabolism",2007,2.1.2.1,SHMT1; SHMT2,"1.00 * 5,6,7,8-Tetrahydrofolate [m] + 1.00 * L-serine [m] --> 1.00 * Water [m] + 1.00 * Glycine [m] + 1.00 * 5,10-Methylenetetrahydrofolate [m]
SHMT1; SHMT2",4.0,2
GHMT3,glycine hydroxymethyltransferase,Lysine metabolism,2008,2.1.2.1,SHMT1,"1.00 * proton [c] + 1.00 * 3-Hydroxy-N6,N6,N6-trimethyl-L-lysine [c] --> 1.00 * Glycine [c] + 1.00 * 4-trimethylammoniobutanal [c]
SHMT1",2.0,1
GHMT3m,"glycine hydroxymethyltransferase, mitochondrial",Lysine metabolism,2009,2.1.2.1,SHMT2,"1.00 * proton [m] + 1.00 * 3-Hydroxy-N6,N6,N6-trimethyl-L-lysine [m] --> 1.00 * Glycine [m] + 1.00 * 4-trimethylammoniobutanal [m]
SHMT2",2.0,1
GK1,guanylate kinase (GMP:ATP),Nucleotide interconversion,2010,,GUK1,"1.00 * ATP [c] + 1.00 * GMP [c] --> 1.00 * ADP [c] + 1.00 * GDP [c]
GUK1",4.0,1
GK1m,"guanylate kinase (GMP:ATP), mitochondrial",Nucleotide interconversion,2011,,GUK1,"1.00 * ATP [m] + 1.00 * GMP [m] --> 1.00 * ADP [m] + 1.00 * GDP [m]
GUK1",1.0,1
GLACO,D-Glucuronolactone:NAD+ oxidoreductase,Vitamin C metabolism,2012,1.2.1.5,ALDH1A1; ALDH1A2; ALDH1A3; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH9A1,"2.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * D-glucurono-6,3-lactone [c] --> 3.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * D-glucarate(2-) [c]
ALDH1A1; ALDH1A2; ALDH1A3; ALDH3A1; ALDH3A2; ALDH3B1; ALDH3B3; ALDH9A1",2.0,8
GLACOm,"D-Glucuronolactone:NAD+ oxidoreductase, mitochondrial",Vitamin C metabolism,2013,1.5.1.12,ALDH1B1; ALDH2; ALDH4A1,"2.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * D-glucurono-6,3-lactone [m] --> 3.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * D-glucarate(2-) [m]
ALDH1B1; ALDH2; ALDH4A1",1.0,3
GLBRAN,"1,4-alpha-glucan branching enzyme (glygn1 -> glygn2)",Starch and sucrose metabolism,2017,2.4.1.18,GBE1,"1.00 * glycogen, structure 1 (glycogenin-11[1,4-Glc]) [c] --> 1.00 * glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) [c]
GBE1",4.0,1
GLCNACPT_L,UDP-GlcNAc:dolichol-phosphate GlcNAc phosphotransferase (liver),N-glycan synthesis,2043,2.7.8.15,DPAGT1,"0.10 * dolichyl phosphate(2-) [c] + 1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [c] --> 0.10 * N-Acetyl-D-glucosaminyldiphosphodolichol, human liver homolog [c] + 1.00 * UMP [c]
DPAGT1",0.0,1
GLCNACPT_U,UDP-GlcNAc:dolichol-phosphate GlcNAc phosphotransferase (uterus),N-glycan synthesis,2044,2.7.8.15,DPAGT1,"0.10 * dolichyl phosphate(2-) [c] + 1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [c] --> 1.00 * UMP [c] + 0.10 * N-Acetyl-D-glucosaminyldiphosphodolichol, human uterine homolog [c]
DPAGT1",0.0,1
GLCt1r,glucose transport (uniport),"Transport, extracellular",2052,,SLC2A1; SLC2A10; SLC2A12; SLC2A2; SLC2A3; SLC2A4; SLC2A6; SLC2A7; SLC2A8; SLC2A9,"1.00 * D-glucose [e] --> 1.00 * D-glucose [c]
SLC2A1; SLC2A10; SLC2A12; SLC2A2; SLC2A3; SLC2A4; SLC2A6; SLC2A7; SLC2A8; SLC2A9",4.0,10
GLCt2_2,D-glucose transport in via proton symport,"Transport, extracellular",2053,,SLC5A1,"2.00 * proton [e] + 1.00 * D-glucose [e] --> 2.00 * proton [c] + 1.00 * D-glucose [c]
SLC5A1",4.0,1
GLCt4,glucose transport via sodium symport,"Transport, extracellular",2054,,SLC5A10; SLC5A11; SLC5A12; SLC5A2; SLC5A3; SLC5A9,"1.00 * Sodium [e] + 1.00 * D-glucose [e] --> 1.00 * Sodium [c] + 1.00 * D-glucose [c]
SLC5A10; SLC5A11; SLC5A12; SLC5A2; SLC5A3; SLC5A9",4.0,6
GLDBRAN,glycogen debranching enzyme,Starch and sucrose metabolism,2060,3.2.1.33,AGL,"1.00 * Water [c] + 1.00 * phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]}) [c] --> 1.00 * D-glucose [c] + 1.00 * glycogen, structure 3 (glycogenin-7[1,4-Glc]) [c]
AGL",4.0,1
GLGNS1,glycogen synthase (ggn -> glygn1),Starch and sucrose metabolism,2061,2.4.1.11,GYG; GYS1; GYS2,"3.00 * UDPglucose [c] + 1.00 * primed glycogenin (glycogenin-8[1,4-Glc]) [c] --> 3.00 * proton [c] + 3.00 * UDP [c] + 1.00 * glycogen, structure 1 (glycogenin-11[1,4-Glc]) [c]
GYG; GYS1; GYS2",2.0,3
GLNALANaEx,L-alanine/L-glutamine Na-dependent exchange (Gln-L in),"Transport, extracellular",2062,,SLC1A5,"1.00 * Sodium [e] + 1.00 * L-alanine [c] + 1.00 * L-glutamine [e] --> 1.00 * Sodium [c] + 1.00 * L-alanine [e] + 1.00 * L-glutamine [c]
SLC1A5",4.0,1
GLNASNNaEx,L-glutamine/L-asparagine Na-dependent exchange (Gln-L in),"Transport, extracellular",2063,,SLC1A5,"1.00 * Sodium [e] + 1.00 * L-asparagine [c] + 1.00 * L-glutamine [e] --> 1.00 * Sodium [c] + 1.00 * L-asparagine [e] + 1.00 * L-glutamine [c]
SLC1A5",4.0,1
GLNCYSNaEx,L-cysteine/L-glutamine Na-dependent exchange (Gln-L in),"Transport, extracellular",2064,,SLC1A5,"1.00 * Sodium [e] + 1.00 * L-cysteine [c] + 1.00 * L-glutamine [e] --> 1.00 * Sodium [c] + 1.00 * L-cysteine [e] + 1.00 * L-glutamine [c]
SLC1A5",4.0,1
GLNS,glutamine synthetase,Glutamate metabolism,2066,,GLUL; LGSN,"1.00 * Ammonium [c] + 1.00 * ATP [c] + 1.00 * L-glutamate(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * L-glutamine [c]
GLUL; LGSN",2.0,2
GLNSERNaEx,L-serine/L-glutamine Na-dependent exchange (Gln-L in),"Transport, extracellular",2067,,SLC1A5,"1.00 * Sodium [e] + 1.00 * L-glutamine [e] + 1.00 * L-serine [c] --> 1.00 * Sodium [c] + 1.00 * L-glutamine [c] + 1.00 * L-serine [e]
SLC1A5",4.0,1
GLNt4,L-glutamine reversible transport via sodium symport,"Transport, extracellular",2068,,ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; TMEM27,"1.00 * Sodium [e] + 1.00 * L-glutamine [e] --> 1.00 * Sodium [c] + 1.00 * L-glutamine [c]
ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; TMEM27",4.0,7
GLNTHRNaEx,L-threonine/L-glutamine Na-dependent exchange (Gln-L in),"Transport, extracellular",2069,,SLC1A5,"1.00 * Sodium [e] + 1.00 * L-glutamine [e] + 1.00 * L-threonine [c] --> 1.00 * Sodium [c] + 1.00 * L-glutamine [c] + 1.00 * L-threonine [e]
SLC1A5",4.0,1
GLNtN1,"Glutamine transport (Na, H coupled)","Transport, extracellular",2071,,SLC38A3; SLC38A5,"1.00 * proton [c] + 2.00 * Sodium [e] + 1.00 * L-glutamine [e] --> 1.00 * proton [e] + 2.00 * Sodium [c] + 1.00 * L-glutamine [c]
SLC38A3; SLC38A5",4.0,2
GLPASE1,glycogen phosphorylase (glygn2 -> dxtrn),Starch and sucrose metabolism,2072,2.4.1.1,PYGB; PYGL; PYGM,"3.00 * hydrogenphosphate [c] + 1.00 * glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) [c] --> 3.00 * D-Glucose 1-phosphate [c] + 1.00 * phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]}) [c]
PYGB; PYGL; PYGM",4.0,3
GLPASE2,glycogen phosphorylase (amyls -> glc-D),Starch and sucrose metabolism,2073,2.4.1.1,PYGB; PYGL; PYGM,"7.00 * Water [c] + 1.00 * glycogen, structure 3 (glycogenin-7[1,4-Glc]) [c] --> 7.00 * D-glucose [c] + 1.00 * Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis) [c]
PYGB; PYGL; PYGM",4.0,3
GLU5Km,glutamate 5-kinase (m),Urea cycle,2075,2.7.2.11,ALDH18A1,"1.00 * L-glutamate(1-) [m] + 1.00 * ATP [m] --> 1.00 * ADP [m] + 1.00 * L-Glutamate 5-phosphate [m]
ALDH18A1",2.0,1
GLUCYS,Gamma-glutamylcysteine synthetase,Glutathione metabolism,2076,,GCLC; GCLM,"1.00 * ATP [c] + 1.00 * L-glutamate(1-) [c] + 1.00 * L-cysteine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * gamma-L-Glutamyl-L-cysteine [c]
GCLC; GCLM",4.0,2
GLUDC,Glutamate Decarboxylase,Glutamate metabolism,2077,4.1.1.15,GAD1; GAD2,"1.00 * proton [c] + 1.00 * L-glutamate(1-) [c] --> 1.00 * carbon dioxide [c] + 1.00 * 4-Aminobutanoate [c]
GAD1; GAD2",4.0,2
GLUDxm,glutamate dehydrogenase (NAD) (mitochondrial),Glutamate metabolism,2078,1.4.1.3,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Ammonium [m]
GLUD1",4.0,1
GLUDym,"glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,2079,1.4.1.4,GLUD1,"1.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate [m] + 1.00 * L-glutamate(1-) [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [m] + 1.00 * 2-Oxoglutarate [m] + 1.00 * Ammonium [m]
GLUD1",4.0,1
GluForTx,Glutamate formimidoyltransferase,Histidine metabolism,2080,2.1.2.5,FTCD,"1.00 * proton [c] + 1.00 * 5,6,7,8-Tetrahydrofolate [c] + 1.00 * N-Formimidoyl-L-glutamate [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 5-Formiminotetrahydrofolate [c]
FTCD",4.0,1
GLUNm,glutaminase (mitochondrial),Glutamate metabolism,2081,3.5.1.2,GLS; GLS2,"1.00 * Water [m] + 1.00 * L-glutamine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * Ammonium [m]
GLS; GLS2",4.0,2
GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,Purine synthesis,2082,2.4.2.14,PPAT,"1.00 * Water [c] + 1.00 * 5-Phospho-alpha-D-ribose 1-diphosphate [c] + 1.00 * L-glutamine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * Diphosphate [c] + 1.00 * 5-Phospho-beta-D-ribosylamine [c]
PPAT",4.0,1
GLUt2m,"L-glutamate reversible transport via proton symport, mitochondrial","Transport, mitochondrial",2083,,SLC25A12; SLC25A13; SLC25A18; SLC25A22,"1.00 * proton [c] + 1.00 * L-glutamate(1-) [c] --> 1.00 * proton [m] + 1.00 * L-glutamate(1-) [m]
SLC25A12; SLC25A13; SLC25A18; SLC25A22",4.0,4
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, extracellular",2084,,SLC1A1; SLC1A2; SLC1A3; SLC1A6; SLC1A7,"1.00 * proton [e] + 3.00 * Sodium [e] + 1.00 * potassium [c] + 1.00 * L-glutamate(1-) [e] --> 1.00 * proton [c] + 3.00 * Sodium [c] + 1.00 * L-glutamate(1-) [c] + 1.00 * potassium [e]
SLC1A1; SLC1A2; SLC1A3; SLC1A6; SLC1A7",4.0,5
GLUTCOADHm,glutaryl-CoA dehydrogenase (mitochondria),Tryptophan metabolism,2086,1.3.99.7,GCDH,"1.00 * proton [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Flavin adenine dinucleotide oxidized [m] --> 1.00 * carbon dioxide [m] + 1.00 * crotonoyl-CoA(4-) [m] + 1.00 * Flavin adenine dinucleotide reduced [m]
GCDH",2.0,1
GLUVESSEC,L-glutamate secretion via secretory vesicle (ATP driven),"Transport, extracellular",2088,,SLC17A6; SLC17A7; SLC17A8,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * L-glutamate(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * L-glutamate(1-) [e]
SLC17A6; SLC17A7; SLC17A8",4.0,3
GLXO1,glyoxylate oxidase,Glyoxylate and dicarboxylate metabolism,2089,1.2.3.5,LDHA; LDHAL6B; LDHB; LDHC; LDHD; UEVLD,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * glyoxylate [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * oxalate(2-) [c]
LDHA; LDHAL6B; LDHB; LDHC; LDHD; UEVLD",4.0,6
GLYAMDTRc,glycine amidinotransferase (c),Urea cycle,2093,2.1.4.1,GATM,"1.00 * Glycine [c] + 1.00 * L-argininium(1+) [c] --> 1.00 * Ornithine [c] + 1.00 * guanidinoacetic acid [c]
GATM",4.0,1
GLYATm,glycine C-acetyltransferase,"Glycine, serine, alanine and threonine metabolism",2094,2.3.1.29,GCAT,"1.00 * Acetyl-CoA [m] + 1.00 * Glycine [m] --> 1.00 * Coenzyme A [m] + 1.00 * L-2-amino-3-oxobutanoic acid [m]
GCAT",2.0,1
GLYBt4_2_r,Betaine transport (sodium symport) (2:1),"Transport, extracellular",2095,,SLC6A12,"2.00 * Sodium [e] + 1.00 * glycine betaine [e] --> 2.00 * Sodium [c] + 1.00 * glycine betaine [c]
SLC6A12",4.0,1
GLYCLTDy,Glycolate dehydrogenase (NADP),Glyoxylate and dicarboxylate metabolism,2099,1.1.1.79,GRHPR,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * glyoxylate [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * glycolate [c]
GRHPR",4.0,1
GLYK,glycerol kinase,Glycerophospholipid metabolism,2106,,GK; GK2,"1.00 * ATP [c] + 1.00 * Glycerol [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * Glycerol 3-phosphate [c]
GK; GK2",4.0,2
GLYKm,glycerol kinase,Glycerophospholipid metabolism,2107,2.7.1.30,GK; GK2,"1.00 * ATP [m] + 1.00 * Glycerol [m] --> 1.00 * proton [m] + 1.00 * ADP [m] + 1.00 * Glycerol 3-phosphate [m]
GK; GK2",2.0,2
GLYOX,hydroxyacylglutathione hydrolase,Pyruvate metabolism,2109,3.1.2.6,HAGH; HAGHL,"1.00 * Water [c] + 1.00 * (R)-S-lactoylglutathionate(1-) [c] --> 1.00 * proton [c] + 1.00 * Reduced glutathione [c] + 1.00 * (R)-lactate [c]
HAGH; HAGHL",4.0,2
GLYOXm,"hydroxyacylglutathione hydrolase, mitochondrial",Pyruvate metabolism,2110,3.1.2.6,HAGH,"1.00 * Water [m] + 1.00 * (R)-S-lactoylglutathionate(1-) [m] --> 1.00 * proton [m] + 1.00 * (R)-lactate [m] + 1.00 * Reduced glutathione [m]
HAGH",4.0,1
GLYt2r,glycine reversible transport via proton symport,"Transport, extracellular",2111,,SLC36A1; SLC36A2,"1.00 * proton [e] + 1.00 * Glycine [e] --> 1.00 * proton [c] + 1.00 * Glycine [c]
SLC36A1; SLC36A2",2.0,2
GLYt4,glycine transport via sodium symport,"Transport, extracellular",2113,,ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; TMEM27,"1.00 * Sodium [e] + 1.00 * Glycine [e] --> 1.00 * Sodium [c] + 1.00 * Glycine [c]
ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; TMEM27",4.0,7
GLYt7_211_r,glycine reversible transport via sodium and chloride symport (2:1:1),"Transport, extracellular",2114,,SLC6A9,"2.00 * Sodium [e] + 1.00 * Glycine [e] + 1.00 * Chloride [e] --> 2.00 * Sodium [c] + 1.00 * Glycine [c] + 1.00 * Chloride [c]
SLC6A9",4.0,1
