reaction_no_direction,reaction_name,formula,associated_genes,subsystem,EC_number,confidence
PGMT,phosphoglucomutase,"1.00 * D-Glucose 1-phosphate [c] --> 1.00 * D-Glucose 6-phosphate [c]
PGM1; PGM2",PGM1; PGM2,Glycolysis/gluconeogenesis,5.4.2.2,0
PGPP_hs,Phosphatidylglycerol phosphate phosphatase (homo sapiens),"1.00 * Water [c] + 1.00 * phosphatidyl glycerol phosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * phosphatidylglycerol(1-) [c]
No genes",NA,Glycerophospholipid metabolism,3.1.3.27,0
PGPPT,phosphatidyl-CMP: glycerophosphate phosphatidyltransferase,"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * Glycerol 3-phosphate [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * phosphatidyl glycerol phosphate [c]
PGS1",PGS1,Glycerophospholipid metabolism,2.7.8.11,2
PGS,Prostaglandin G/H synthase,"2.00 * O2 [c] + 1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * arachidonate [c] --> 1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin H2(1-) [c]
PTGS1; PTGS2",PTGS1; PTGS2,Eicosanoid metabolism,1.14.99.1,4
PGSr,Prostaglandin G/H synthase,"2.00 * O2 [r] + 1.00 * arachidonate [r] + 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] --> 1.00 * Water [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * prostaglandin H2(1-) [r]
PTGS1; PTGS2",PTGS1; PTGS2,Eicosanoid metabolism,1.14.99.1,4
PHACCOAGLNAC,Phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase,"1.00 * L-glutamine [c] + 1.00 * phenylacetyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * (2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate [c]
No genes",NA,Phenylalanine metabolism,2.3.1.14,2
PHCDm,L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase,"2.00 * Water [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * L-1-Pyrroline-3-hydroxy-5-carboxylate [m] --> 1.00 * proton [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * erythro-4-hydroxy-L-glutamate(1-) [m]
ALDH4A1",ALDH4A1,Arginine and Proline Metabolism,1.5.1.12,2
PHCHGSm,"L-1-Pyrroline-3-hydroxy-5-carboxylate spontaneous conversion to L-4-Hydroxyglutamate semialdehyde, mitochondrial","1.00 * proton [m] + 1.00 * Water [m] + 1.00 * L-1-Pyrroline-3-hydroxy-5-carboxylate [m] --> 1.00 * L-4-hydroxyglutamic semialdehyde [m]
No genes",NA,Arginine and Proline Metabolism,N/A,2
PHEACGLNt,PHEACGLN extracellular transport via diffusion,"1.00 * (2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate [c] --> 1.00 * (2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate [e]
No genes",NA,"Transport, extracellular",N/A,0
PHEMEt,heme transport,"1.00 * Protoheme [e] --> 1.00 * Protoheme [c]
LRP1; SLC46A1",LRP1; SLC46A1,"Transport, extracellular",N/A,4
PHEMEtm,Heme transport to cytosol,"1.00 * Protoheme [m] --> 1.00 * Protoheme [c]
No genes",NA,"Transport, mitochondrial",N/A,2
PHEt4,L-phenylalanine transport in via sodium symport,"1.00 * Sodium [e] + 1.00 * L-phenylalanine [e] --> 1.00 * Sodium [c] + 1.00 * L-phenylalanine [c]
ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; SLC7A1; SLC7A2; SLC7A3; TMEM27",ACE2; SLC38A1; SLC38A2; SLC38A4; SLC6A14; SLC6A19; SLC7A1; SLC7A2; SLC7A3; TMEM27,"Transport, extracellular",N/A,4
PHETA1,phenylalanine transaminase,"1.00 * 2-Oxoglutarate [c] + 1.00 * L-phenylalanine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * keto-phenylpyruvate [c]
GOT1",GOT1,Phenylalanine metabolism,2.6.1.58,2
PHETA1m,phenylalanine transaminase (m),"1.00 * 2-Oxoglutarate [m] + 1.00 * L-phenylalanine [m] --> 1.00 * L-glutamate(1-) [m] + 1.00 * keto-phenylpyruvate [m]
GOT2; TAT",GOT2; TAT,Phenylalanine metabolism,2.6.1.58,2
PHEtec,L-phenylalanine transport via diffusion (extracellular to cytosol),"1.00 * L-phenylalanine [e] --> 1.00 * L-phenylalanine [c]
SLC16A10; SLC43A1; SLC43A2",SLC16A10; SLC43A1; SLC43A2,"Transport, extracellular",N/A,4
PHETHPTOX2,"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)","1.00 * O2 [c] + 1.00 * 5,6,7,8-tetrahydrobiopterin [c] + 1.00 * L-phenylalanine [c] --> 1.00 * L-tyrosine [c] + 1.00 * 4a-hydroxytetrahydrobiopterin [c]
PAH",PAH,Phenylalanine metabolism,1.14.16.1,4
PHYCBOXL,L-Phenylalanine carboxy-lyase,"1.00 * proton [c] + 1.00 * L-phenylalanine [c] --> 1.00 * carbon dioxide [c] + 1.00 * 2-phenylethanaminium [c]
DDC",DDC,Phenylalanine metabolism,4.1.1.28,1
PHYHx,"Phytanoyl-CoA dioxygenase, peroxisomal","1.00 * O2 [x] + 1.00 * 2-Oxoglutarate [x] + 1.00 * phytanoyl-CoA(4-) [x] --> 1.00 * carbon dioxide [x] + 1.00 * 2-hydroxyphytanoyl-CoA(4-) [x] + 1.00 * Succinate [x]
PHYH",PHYH,Fatty acid oxidation,1.14.11.18,4
PHYQt,Phylloquinone transport,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * phylloquinone [e] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * phylloquinone [c]
No genes",NA,"Transport, extracellular",N/A,4
PHYTt,fatty acid transport via diffusion,"1.00 * phytanate [e] --> 1.00 * phytanate [c]
No genes",NA,"Transport, extracellular",N/A,2
PI345P3P,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase","1.00 * Water [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c]
PTEN",PTEN,Inositol phosphate metabolism,3.1.3.67,4
PI345P3Pn,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase, nuclear","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [n] --> 1.00 * phosphatidylinositol 4,5-bisphosphate [n] + 1.00 * hydrogenphosphate [n]
PTEN",PTEN,Inositol phosphate metabolism,3.1.3.67,4
PI345P5P,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase","1.00 * Water [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [c]
INPP5A; INPP5B; INPP5D; INPP5E; INPP5J; INPPL1; SYNJ1; SYNJ2",INPP5A; INPP5B; INPP5D; INPP5E; INPP5J; INPPL1; SYNJ1; SYNJ2,Inositol phosphate metabolism,N/A,4
PI345P5Pn,"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase, nuclear","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [n] --> 1.00 * hydrogenphosphate [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI34P3Pn,"phosphatidylinositol-3,4-bisphosphate 3-phosphatase, nuclear","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n] --> 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n] + 1.00 * hydrogenphosphate [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI34P4Pn,"phosphatidylinositol-3,4-bisphosphate 4-phosphatase, nuclear","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n] --> 1.00 * hydrogenphosphate [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI34P5K,"phosphatidylinositol 3,4-bisphosphate 5-kinase","1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [c]
PIP5K1A; PIP5K1B; PIP5K1C",PIP5K1A; PIP5K1B; PIP5K1C,Inositol phosphate metabolism,N/A,4
PI34P5Kn,"phosphatidylinositol 3,4-bisphosphate 5-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI3P3Pn,"phosphatidylinositol-3-phosphate 3-phosphatase, nuclear","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [n] --> 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [n] + 1.00 * hydrogenphosphate [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI3P4K,phosphatidylinositol 3-phosphate 4-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [c]
PI4K2A; PI4KA; PI4KB; PIP5K1A; PIP5K1B; PIP5K1C",PI4K2A; PI4KA; PI4KB; PIP5K1A; PIP5K1B; PIP5K1C,Inositol phosphate metabolism,2.7.1.68,4
PI3P4Kn,"phosphatidylinositol 3-phosphate 4-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI3P5K,phosphatidylinositol 3-phosphate 5-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-) [c]
PIP5K1A; PIP5K1B; PIP5K1C",PIP5K1A; PIP5K1B; PIP5K1C,Inositol phosphate metabolism,2.7.1.68,2
PI45P3K,"phosphatidylinositol 4,5-bisphosphate 3-kinase","1.00 * ATP [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [c]
HCST; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5",HCST; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5,Inositol phosphate metabolism,2.7.1.153,4
PI45P3Kn,"phosphatidylinositol 4,5-bisphosphate 3-kinase, nuclear","1.00 * ATP [n] + 1.00 * phosphatidylinositol 4,5-bisphosphate [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-) [n]
No genes",NA,Inositol phosphate metabolism,2.7.1.153,2
PI45P4P,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase","1.00 * Water [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [c]
No genes",NA,Inositol phosphate metabolism,N/A,1
PI45P5P,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase","1.00 * Water [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c]
INPP5B; INPP5E; OCRL; SYNJ1; SYNJ2",INPP5B; INPP5E; OCRL; SYNJ1; SYNJ2,Inositol phosphate metabolism,3.1.3.36,4
PI45P5Pn,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase, nuclear","1.00 * Water [n] + 1.00 * phosphatidylinositol 4,5-bisphosphate [n] --> 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n] + 1.00 * hydrogenphosphate [n]
No genes",NA,Inositol phosphate metabolism,3.1.3.36,2
PI45PLC,"phosphatidylinositol 4,5-bisphosphate phospholipase C","1.00 * Water [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c] --> 1.00 * proton [c] + 1.00 * diglyceride [c] + 1.00 * 1D-myo-inositol 1,4,5-trisphosphate(6-) [c]
PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1",PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1,Inositol phosphate metabolism,3.1.4.11,4
PI45PLCn,"phosphatidylinositol 4,5-bisphosphate phospholipase C, nucleus","1.00 * Water [n] + 1.00 * phosphatidylinositol 4,5-bisphosphate [n] --> 1.00 * proton [n] + 1.00 * diglyceride [n] + 1.00 * 1D-myo-inositol 1,4,5-trisphosphate(6-) [n]
PLCB1",PLCB1,Inositol phosphate metabolism,3.1.4.11,4
PI4P3K,phosphatidylinositol 4-phosphate 3-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [c]
HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5",HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5,Inositol phosphate metabolism,2.7.1.68,4
PI4P3Ker,"phosphatidylinositol 4-phosphate 3-kinase, endoplasmic reticulum","1.00 * ATP [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [r] --> 1.00 * ADP [r] + 1.00 * proton [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [r]
PIK3C2B",PIK3C2B,Inositol phosphate metabolism,2.7.1.68,4
PI4P3Kn,"phosphatidylinositol 4-phosphate 3-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI4P5K,phosphatidylinositol 4-phosphate 5-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c]
PIKFYVE; PIP4K2A; PIP4K2B; PIP4K2C; PIP5K1A; PIP5K1B; PIP5K1C",PIKFYVE; PIP4K2A; PIP4K2B; PIP4K2C; PIP5K1A; PIP5K1B; PIP5K1C,Glycerophospholipid metabolism,2.7.1.68,4
PI4P5Kn,"phosphatidylinositol 4-phosphate 5-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * phosphatidylinositol 4,5-bisphosphate [n]
No genes",NA,Inositol phosphate metabolism,2.7.1.68,2
PI4PLC,phosphatidylinositol 4-phosphate phospholipase C,"1.00 * Water [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c] --> 1.00 * proton [c] + 1.00 * diglyceride [c] + 1.00 * (1R,2R,3R,4R,5R,6S)-2,3,5,6-tetrahydroxy-4-(phosphonatooxy)cyclohexyl phosphate [c]
PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1",PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1,Inositol phosphate metabolism,N/A,4
PI4PLCn,"phosphatidylinositol 4-phosphate phospholipase C, nucleus","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n] --> 1.00 * proton [n] + 1.00 * diglyceride [n] + 1.00 * (1R,2R,3R,4R,5R,6S)-2,3,5,6-tetrahydroxy-4-(phosphonatooxy)cyclohexyl phosphate [n]
PLCB1",PLCB1,Inositol phosphate metabolism,N/A,4
PI4PP,phosphatidylinositol-4-phosphate 4-phosphatase,"1.00 * Water [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c] --> 1.00 * hydrogenphosphate [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c]
No genes",NA,Inositol phosphate metabolism,N/A,2
PI5P3K,phosphatidylinositol-5-phosphate 3-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-) [c]
HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3C3; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5",HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3C3; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5,Inositol phosphate metabolism,N/A,1
PI5P3Ker,"phosphatidylinositol-5-phosphate 3-kinase, endoplasmic reticulum","1.00 * ATP [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [r] --> 1.00 * ADP [r] + 1.00 * proton [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-) [r]
PIK3C2B",PIK3C2B,Inositol phosphate metabolism,N/A,1
PI5P4K,phosphatidylinositol-5-phosphate 4-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * phosphatidylinositol 4,5-bisphosphate [c]
PI4K2A; PI4KA; PI4KB",PI4K2A; PI4KA; PI4KB,Inositol phosphate metabolism,2.7.1.149,4
PI5P4Kn,"phosphatidylinositol-5-phosphate 4-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * phosphatidylinositol 4,5-bisphosphate [n]
No genes",NA,Inositol phosphate metabolism,2.7.1.149,2
PIACGT,phosphatidylinositol N-acetylglucosaminyltransferase,"1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c] + 1.00 * UDP-N-acetyl-alpha-D-glucosamine(2-) [c] --> 1.00 * proton [c] + 1.00 * UDP [c] + 1.00 * 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol(1-) [c]
DPM2; PIGA; PIGC; PIGH; PIGP; PIGQ",DPM2; PIGA; PIGC; PIGH; PIGP; PIGQ,Phosphatidylinositol phosphate metabolism,2.4.1.198,4
PIK3,phosphatidylinositol 3-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [c]
HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3C3; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5",HCST; PIK3C2A; PIK3C2B; PIK3C2G; PIK3C3; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIK3R1; PIK3R2; PIK3R3; PIK3R5,Inositol phosphate metabolism,2.7.1.137,4
PIK3er,"phosphatidylinositol 3-kinase, endoplasmic reticulum","1.00 * ATP [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [r] --> 1.00 * ADP [r] + 1.00 * proton [r] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [r]
PIK3C2B",PIK3C2B,Inositol phosphate metabolism,2.7.1.137,4
PIK3n,"phosphatidylinositol 3-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 3-phosphate(3-) [n]
No genes",NA,Inositol phosphate metabolism,2.7.1.137,2
PIK4,phosphatidylinositol 4-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [c]
PI4K2A; PI4KA; PI4KB",PI4K2A; PI4KA; PI4KB,Glycerophospholipid metabolism,2.7.1.67,4
PIK4n,"phosphatidylinositol 4-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 4-phosphate(3-) [n]
No genes",NA,Inositol phosphate metabolism,2.7.1.67,2
PIK5,phosphatidylinositol 5-kinase,"1.00 * ATP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [c]
PIP5K1A; PIP5K1B; PIP5K1C",PIP5K1A; PIP5K1B; PIP5K1C,Inositol phosphate metabolism,N/A,4
PIK5n,"phosphatidylinositol 5-kinase, nuclear","1.00 * ATP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [n] --> 1.00 * proton [n] + 1.00 * ADP [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol 5-phosphate(3-) [n]
No genes",NA,Inositol phosphate metabolism,N/A,2
PIPLC,phosphatidylinositol phospholipase C,"1.00 * Water [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c] --> 1.00 * proton [c] + 1.00 * diglyceride [c] + 1.00 * 1D-myo-inositol 1-phosphate(2-) [c]
PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1",PLCB1; PLCB2; PLCB3; PLCB4; PLCD1; PLCD3; PLCD4; PLCE1; PLCG1; PLCG2; PLCH1; PLCH2; PLCL1; PLCXD2; PLCZ1,Inositol phosphate metabolism,3.1.4.3,4
PIPLCn,"phosphatidylinositol phospholipase C, nucleus","1.00 * Water [n] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [n] --> 1.00 * proton [n] + 1.00 * diglyceride [n] + 1.00 * 1D-myo-inositol 1-phosphate(2-) [n]
PLCB1",PLCB1,Inositol phosphate metabolism,3.1.4.3,4
PIt2m,"phosphate transporter, mitochondrial","1.00 * proton [c] + 1.00 * hydrogenphosphate [c] --> 1.00 * proton [m] + 1.00 * hydrogenphosphate [m]
SLC25A3",SLC25A3,"Transport, mitochondrial",N/A,4
PIt7,phosphate transport in/out via three Na+ symporter,"3.00 * Sodium [e] + 1.00 * hydrogenphosphate [e] --> 1.00 * hydrogenphosphate [c] + 3.00 * Sodium [c]
SLC17A1; SLC17A2; SLC17A3; SLC17A4; SLC34A1; SLC34A2",SLC17A1; SLC17A2; SLC17A3; SLC17A4; SLC34A1; SLC34A2,"Transport, extracellular",N/A,4
PIter,"phosphate transport, endoplasmic reticulum","1.00 * hydrogenphosphate [r] --> 1.00 * hydrogenphosphate [c]
SLC37A4",SLC37A4,"Transport, endoplasmic reticular",N/A,1
PItg,"phosphate transport, Golgi apparatus","1.00 * hydrogenphosphate [g] --> 1.00 * hydrogenphosphate [c]
No genes",NA,"Transport, golgi apparatus",N/A,2
PItn,"phosphate transport, nuclear","1.00 * hydrogenphosphate [n] --> 1.00 * hydrogenphosphate [c]
No genes",NA,"Transport, nuclear",N/A,2
PItx,"Phosphate transporter, peroxisome","1.00 * hydrogenphosphate [c] --> 1.00 * hydrogenphosphate [x]
No genes",NA,"Transport, peroxisomal",N/A,1
PLA2,phospholipase A2,"1.00 * Water [c] + 1.00 * 1-alkyl 2-acylglycerol 3-phosphocholine [c] --> 1.00 * proton [c] + 1.00 * R total 2 position [c] + 1.00 * 1-alkyl 2-lysoglycerol 3-phosphocholine [c]
No genes",NA,Glycerophospholipid metabolism,N/A,4
PLA2_2,phospholipase A2,"1.00 * Water [c] + 1.00 * Phosphatidylcholine [c] --> 1.00 * proton [c] + 1.00 * R total 2 position [c] + 1.00 * lysophosphatidylcholine [c]
PLA2G12A; PLA2G2A; PLA2G2F; PLA2G3; PLA2G4A; PLA2G4B; PLA2G4E; PLA2G5; PLA2G6",PLA2G12A; PLA2G2A; PLA2G2F; PLA2G3; PLA2G4A; PLA2G4B; PLA2G4E; PLA2G5; PLA2G6,Glycerophospholipid metabolism,3.1.1.4,4
PLA2_2e,phospholipase A2,"1.00 * Water [e] + 1.00 * Phosphatidylcholine [e] --> 1.00 * proton [e] + 1.00 * lysophosphatidylcholine [e] + 1.00 * R total 2 position [e]
PLA2G10; PLA2G12A; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G2E; PLA2G2F; PLA2G5",PLA2G10; PLA2G12A; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G2E; PLA2G2F; PLA2G5,Glycerophospholipid metabolism,3.1.1.4,4
PLYSPSer,protein lysine peptidase (endoplasmic reticulum),"1.00 * Water [r] + 1.00 * Protein N6,N6,N6-trimethyl-L-lysine [r] --> 1.00 * peptide sans lysine [r] + 1.00 * N6,N6,N6-Trimethyl-L-lysine [r]
SEC11A; SEC11C; SPCS1; SPCS2; SPCS3",SEC11A; SEC11C; SPCS1; SPCS2; SPCS3,Lysine metabolism,N/A,4
PMANM,phosphomannomutase,"1.00 * D-Mannose 1-phosphate [c] --> 1.00 * D-Mannose 6-phosphate [c]
PGM1; PMM1; PMM2",PGM1; PMM1; PMM2,Fructose and mannose metabolism,5.4.2.8,0
