rxn_code_nodirection,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
r1061,Vesicular transport,"Transport, lysosomal",4252,N/A,,"1.00 * L-asparagine [l] --> 1.00 * L-asparagine [c]
No genes",0
r1062,Vesicular transport,"Transport, lysosomal",4253,N/A,,"1.00 * L-aspartate(1-) [l] --> 1.00 * L-aspartate(1-) [c]
No genes",0
r1063,Vesicular transport,"Transport, lysosomal",4254,N/A,,"1.00 * L-cysteine [l] --> 1.00 * L-cysteine [c]
No genes",0
r1064,Postulated transport reaction,"Transport, lysosomal",4255,N/A,,"1.00 * L-glutamine [l] --> 1.00 * L-glutamine [c]
No genes",0
r1067,Vesicular transport,"Transport, lysosomal",4256,N/A,,"1.00 * L-histidine [l] --> 1.00 * L-histidine [c]
No genes",0
r1068,Vesicular transport,"Transport, lysosomal",4257,N/A,,"1.00 * L-leucine [l] --> 1.00 * L-leucine [c]
No genes",0
r1071,Transport reaction,"Transport, lysosomal",4258,N/A,,"1.00 * L-lysinium(1+) [l] --> 1.00 * L-lysinium(1+) [c]
No genes",0
r1073,Transport reaction,"Transport, lysosomal",4259,N/A,,"1.00 * L-methionine [l] --> 1.00 * L-methionine [c]
No genes",0
r1074,Vesicular transport,"Transport, lysosomal",4260,N/A,,"1.00 * L-phenylalanine [l] --> 1.00 * L-phenylalanine [c]
No genes",0
r1076,Postulated transport reaction,"Transport, lysosomal",4261,N/A,,"1.00 * L-serine [l] --> 1.00 * L-serine [c]
No genes",0
r1077,Vesicular transport,"Transport, lysosomal",4262,N/A,,"1.00 * L-tryptophan [l] --> 1.00 * L-tryptophan [c]
No genes",0
r1078,Vesicular transport,"Transport, mitochondrial",4263,N/A,,"1.00 * L-tyrosine [c] --> 1.00 * L-tyrosine [m]
No genes",0
r1080,Vesicular transport,"Transport, lysosomal",4264,N/A,,"1.00 * L-tyrosine [l] --> 1.00 * L-tyrosine [c]
No genes",0
r1081,Vesicular transport,"Transport, extracellular",4265,N/A,,"1.00 * ApoTransferin [c] --> 1.00 * ApoTransferin [e]
No genes",0
r1082,Vesicular transport,"Transport, extracellular",4266,N/A,,"1.00 * ApoTransferin [e] --> 1.00 * ApoTransferin [l]
No genes",0
r1088,Active transport,"Transport, extracellular",4267,N/A,,"1.00 * proton [e] + 1.00 * Citrate [e] --> 1.00 * proton [c] + 1.00 * Citrate [c]
No genes",0
r1090,TCDB:2.A.47.1.9 TCDB:2.A.29.7.2,"Transport, extracellular",4268,N/A,SLC13A5; SLC25A1,"1.00 * Sodium [e] + 1.00 * Citrate [e] --> 1.00 * Sodium [c] + 1.00 * Citrate [c]
SLC13A5; SLC25A1",0
r1092,albumin  Protein assembly,Exchange/demand reaction,4269,N/A,ALB,"2436.00 * Water [c] + 2436.00 * ATP [c] + 62.00 * L-glutamate(1-) [c] + 36.00 * L-aspartate(1-) [c] + 17.00 * L-asparagine [c] + 63.00 * L-alanine [c] + 35.00 * L-cysteine [c] + 20.00 * L-glutamine [c] + 13.00 * Glycine [c] + 28.00 * L-serine [c] + 29.00 * L-threonine [c] + 60.00 * L-lysinium(1+) [c] + 27.00 * L-argininium(1+) [c] + 7.00 * L-methionine [c] + 16.00 * L-histidine [c] + 19.00 * L-tyrosine [c] + 9.00 * L-isoleucine [c] + 64.00 * L-leucine [c] + 2.00 * L-tryptophan [c] + 35.00 * L-phenylalanine [c] + 24.00 * L-proline [c] + 43.00 * L-valine [c] --> 1827.00 * ADP [c] + 1827.00 * hydrogenphosphate [c] + 609.00 * AMP [c] + 609.00 * Diphosphate [c] + 1.00 * Albumin [c]
ALB",0
r1093,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3  Protein assembly",Exchange/demand reaction,4270,N/A,SERPINA3A,"1692.00 * Water [c] + 1692.00 * ATP [c] + 29.00 * L-glutamate(1-) [c] + 25.00 * L-aspartate(1-) [c] + 19.00 * L-asparagine [c] + 34.00 * L-alanine [c] + 3.00 * L-cysteine [c] + 17.00 * L-glutamine [c] + 16.00 * Glycine [c] + 30.00 * L-serine [c] + 29.00 * L-threonine [c] + 26.00 * L-lysinium(1+) [c] + 16.00 * L-argininium(1+) [c] + 14.00 * L-methionine [c] + 9.00 * L-histidine [c] + 9.00 * L-tyrosine [c] + 20.00 * L-isoleucine [c] + 59.00 * L-leucine [c] + 3.00 * L-tryptophan [c] + 25.00 * L-phenylalanine [c] + 16.00 * L-proline [c] + 24.00 * L-valine [c] --> 1269.00 * ADP [c] + 1269.00 * hydrogenphosphate [c] + 423.00 * AMP [c] + 423.00 * Diphosphate [c] + 1.00 * Antichymotrypsin [c]
SERPINA3A",0
r1094,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1  Protein assembly",Exchange/demand reaction,4271,N/A,SERPINA1B,"1672.00 * Water [c] + 1672.00 * ATP [c] + 32.00 * L-glutamate(1-) [c] + 24.00 * L-aspartate(1-) [c] + 19.00 * L-asparagine [c] + 26.00 * L-alanine [c] + 3.00 * L-cysteine [c] + 18.00 * L-glutamine [c] + 24.00 * Glycine [c] + 25.00 * L-serine [c] + 30.00 * L-threonine [c] + 34.00 * L-lysinium(1+) [c] + 7.00 * L-argininium(1+) [c] + 10.00 * L-methionine [c] + 13.00 * L-histidine [c] + 6.00 * L-tyrosine [c] + 20.00 * L-isoleucine [c] + 51.00 * L-leucine [c] + 3.00 * L-tryptophan [c] + 27.00 * L-phenylalanine [c] + 19.00 * L-proline [c] + 27.00 * L-valine [c] --> 1254.00 * ADP [c] + 1254.00 * hydrogenphosphate [c] + 418.00 * AMP [c] + 418.00 * Diphosphate [c] + 1.00 * Antitrypsin [c]
SERPINA1B",0
r1095,apolipoprotein B  Protein assembly,Exchange/demand reaction,4272,N/A,APOB,"18244.00 * Water [c] + 18244.00 * ATP [c] + 298.00 * L-glutamate(1-) [c] + 233.00 * L-aspartate(1-) [c] + 247.00 * L-asparagine [c] + 275.00 * L-alanine [c] + 25.00 * L-cysteine [c] + 230.00 * L-glutamine [c] + 207.00 * Glycine [c] + 392.00 * L-serine [c] + 300.00 * L-threonine [c] + 357.00 * L-lysinium(1+) [c] + 150.00 * L-argininium(1+) [c] + 79.00 * L-methionine [c] + 115.00 * L-histidine [c] + 151.00 * L-tyrosine [c] + 285.00 * L-isoleucine [c] + 533.00 * L-leucine [c] + 37.00 * L-tryptophan [c] + 224.00 * L-phenylalanine [c] + 171.00 * L-proline [c] + 252.00 * L-valine [c] --> 13683.00 * ADP [c] + 13683.00 * hydrogenphosphate [c] + 4561.00 * AMP [c] + 4561.00 * Diphosphate [c] + 1.00 * ApoB100 [c]
APOB",0
r1096,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1  Protein assembly",Exchange/demand reaction,4273,N/A,NDUFAB1,"496.00 * Water [c] + 496.00 * ATP [c] + 5.00 * L-glutamate(1-) [c] + 8.00 * L-aspartate(1-) [c] + 1.00 * L-asparagine [c] + 11.00 * L-alanine [c] + 2.00 * L-cysteine [c] + 7.00 * L-glutamine [c] + 6.00 * Glycine [c] + 8.00 * L-serine [c] + 6.00 * L-threonine [c] + 4.00 * L-lysinium(1+) [c] + 9.00 * L-argininium(1+) [c] + 5.00 * L-methionine [c] + 1.00 * L-histidine [c] + 4.00 * L-tyrosine [c] + 4.00 * L-isoleucine [c] + 20.00 * L-leucine [c] + 3.00 * L-phenylalanine [c] + 9.00 * L-proline [c] + 11.00 * L-valine [c] --> 372.00 * ADP [c] + 372.00 * hydrogenphosphate [c] + 124.00 * AMP [c] + 124.00 * Diphosphate [c] + 1.00 * Apo-ACP [c]
NDUFAB1",0
r1097,ACP Protein assembly,Exchange/demand reaction,4274,N/A,NDUFAB1,"348.00 * Water [m] + 9.00 * L-glutamate(1-) [m] + 13.00 * L-aspartate(1-) [m] + 348.00 * ATP [m] + 3.00 * L-alanine [m] + 3.00 * Glycine [m] + 7.00 * L-lysinium(1+) [m] + 1.00 * L-argininium(1+) [m] + 1.00 * L-asparagine [m] + 1.00 * L-cysteine [m] + 3.00 * L-serine [m] + 3.00 * L-glutamine [m] + 8.00 * L-isoleucine [m] + 10.00 * L-leucine [m] + 5.00 * L-proline [m] + 3.00 * L-phenylalanine [m] + 4.00 * L-tyrosine [m] + 6.00 * L-valine [m] + 5.00 * L-methionine [m] + 1.00 * L-histidine [m] + 1.00 * L-threonine [m] --> 261.00 * ADP [m] + 261.00 * hydrogenphosphate [m] + 87.00 * AMP [m] + 87.00 * Diphosphate [m] + 1.00 * mitoApo-ACP [m]
NDUFAB1",0
r1098,Apo-CIB Protein assembly,Exchange/demand reaction,4275,N/A,APOC1,"332.00 * Water [c] + 332.00 * ATP [c] + 8.00 * L-glutamate(1-) [c] + 4.00 * L-aspartate(1-) [c] + 1.00 * L-asparagine [c] + 5.00 * L-alanine [c] + 3.00 * L-glutamine [c] + 3.00 * Glycine [c] + 9.00 * L-serine [c] + 3.00 * L-threonine [c] + 9.00 * L-lysinium(1+) [c] + 4.00 * L-argininium(1+) [c] + 2.00 * L-methionine [c] + 4.00 * L-isoleucine [c] + 12.00 * L-leucine [c] + 1.00 * L-tryptophan [c] + 4.00 * L-phenylalanine [c] + 4.00 * L-proline [c] + 7.00 * L-valine [c] --> 249.00 * ADP [c] + 249.00 * hydrogenphosphate [c] + 83.00 * AMP [c] + 83.00 * Diphosphate [c] + 1.00 * ApoC1 [c]
APOC1",0
r1099,Apo-CII Protein assembly,Exchange/demand reaction,4276,N/A,APOC2,"404.00 * Water [c] + 404.00 * ATP [c] + 8.00 * L-glutamate(1-) [c] + 4.00 * L-aspartate(1-) [c] + 1.00 * L-asparagine [c] + 7.00 * L-alanine [c] + 8.00 * L-glutamine [c] + 5.00 * Glycine [c] + 9.00 * L-serine [c] + 10.00 * L-threonine [c] + 6.00 * L-lysinium(1+) [c] + 2.00 * L-argininium(1+) [c] + 3.00 * L-methionine [c] + 5.00 * L-tyrosine [c] + 1.00 * L-isoleucine [c] + 15.00 * L-leucine [c] + 1.00 * L-tryptophan [c] + 4.00 * L-phenylalanine [c] + 5.00 * L-proline [c] + 7.00 * L-valine [c] --> 303.00 * ADP [c] + 303.00 * hydrogenphosphate [c] + 101.00 * AMP [c] + 101.00 * Diphosphate [c] + 1.00 * ApoC2 [c]
APOC2",0
r1100,Apo-CIII Protein assembly,Exchange/demand reaction,4277,N/A,APOC3,"396.00 * Water [c] + 396.00 * ATP [c] + 5.00 * L-glutamate(1-) [c] + 7.00 * L-aspartate(1-) [c] + 15.00 * L-alanine [c] + 6.00 * L-glutamine [c] + 3.00 * Glycine [c] + 12.00 * L-serine [c] + 5.00 * L-threonine [c] + 6.00 * L-lysinium(1+) [c] + 4.00 * L-argininium(1+) [c] + 3.00 * L-methionine [c] + 1.00 * L-histidine [c] + 2.00 * L-tyrosine [c] + 11.00 * L-leucine [c] + 3.00 * L-tryptophan [c] + 4.00 * L-phenylalanine [c] + 3.00 * L-proline [c] + 9.00 * L-valine [c] --> 297.00 * ADP [c] + 297.00 * hydrogenphosphate [c] + 99.00 * AMP [c] + 99.00 * Diphosphate [c] + 1.00 * ApoC3 [c]
APOC3",0
r1101,Fibrinogen alpha chain Protein assembly,Exchange/demand reaction,4278,N/A,FGA,"10696.00 * Water [c] + 10696.00 * ATP [c] + 186.00 * L-glutamate(1-) [c] + 176.00 * L-aspartate(1-) [c] + 138.00 * L-asparagine [c] + 134.00 * L-alanine [c] + 48.00 * L-cysteine [c] + 110.00 * L-glutamine [c] + 262.00 * Glycine [c] + 278.00 * L-serine [c] + 182.00 * L-threonine [c] + 154.00 * L-lysinium(1+) [c] + 134.00 * L-argininium(1+) [c] + 48.00 * L-methionine [c] + 62.00 * L-histidine [c] + 98.00 * L-tyrosine [c] + 104.00 * L-isoleucine [c] + 166.00 * L-leucine [c] + 60.00 * L-tryptophan [c] + 98.00 * L-phenylalanine [c] + 114.00 * L-proline [c] + 122.00 * L-valine [c] --> 8022.00 * ADP [c] + 8022.00 * hydrogenphosphate [c] + 2674.00 * AMP [c] + 2674.00 * Diphosphate [c] + 1.00 * Fibrinogen [c]
FGA",0
r1102,Haptoglobin Protein assembly,Exchange/demand reaction,4279,N/A,,"1624.00 * Water [c] + 1624.00 * ATP [c] + 25.00 * L-glutamate(1-) [c] + 25.00 * L-aspartate(1-) [c] + 21.00 * L-asparagine [c] + 30.00 * L-alanine [c] + 12.00 * L-cysteine [c] + 17.00 * L-glutamine [c] + 31.00 * Glycine [c] + 18.00 * L-serine [c] + 22.00 * L-threonine [c] + 35.00 * L-lysinium(1+) [c] + 9.00 * L-argininium(1+) [c] + 5.00 * L-methionine [c] + 13.00 * L-histidine [c] + 21.00 * L-tyrosine [c] + 18.00 * L-isoleucine [c] + 31.00 * L-leucine [c] + 8.00 * L-tryptophan [c] + 8.00 * L-phenylalanine [c] + 21.00 * L-proline [c] + 36.00 * L-valine [c] --> 1218.00 * ADP [c] + 1218.00 * hydrogenphosphate [c] + 406.00 * AMP [c] + 406.00 * Diphosphate [c] + 1.00 * Haptoglobin [c]
No genes",0
r1103,Plasminogen Protein assembly,Exchange/demand reaction,4280,N/A,PLG,"3240.00 * Water [c] + 3240.00 * ATP [c] + 56.00 * L-glutamate(1-) [c] + 36.00 * L-aspartate(1-) [c] + 40.00 * L-asparagine [c] + 37.00 * L-alanine [c] + 48.00 * L-cysteine [c] + 31.00 * L-glutamine [c] + 62.00 * Glycine [c] + 56.00 * L-serine [c] + 61.00 * L-threonine [c] + 49.00 * L-lysinium(1+) [c] + 42.00 * L-argininium(1+) [c] + 11.00 * L-methionine [c] + 24.00 * L-histidine [c] + 30.00 * L-tyrosine [c] + 22.00 * L-isoleucine [c] + 48.00 * L-leucine [c] + 19.00 * L-tryptophan [c] + 21.00 * L-phenylalanine [c] + 69.00 * L-proline [c] + 48.00 * L-valine [c] --> 2430.00 * ADP [c] + 2430.00 * hydrogenphosphate [c] + 810.00 * AMP [c] + 810.00 * Diphosphate [c] + 1.00 * Plasminogen [c]
PLG",0
r1104,Prothrombin Protein assembly,Exchange/demand reaction,4281,N/A,F2,"2488.00 * Water [c] + 2488.00 * ATP [c] + 51.00 * L-glutamate(1-) [c] + 35.00 * L-aspartate(1-) [c] + 25.00 * L-asparagine [c] + 42.00 * L-alanine [c] + 26.00 * L-cysteine [c] + 26.00 * L-glutamine [c] + 49.00 * Glycine [c] + 38.00 * L-serine [c] + 36.00 * L-threonine [c] + 29.00 * L-lysinium(1+) [c] + 44.00 * L-argininium(1+) [c] + 9.00 * L-methionine [c] + 13.00 * L-histidine [c] + 21.00 * L-tyrosine [c] + 22.00 * L-isoleucine [c] + 51.00 * L-leucine [c] + 14.00 * L-tryptophan [c] + 21.00 * L-phenylalanine [c] + 33.00 * L-proline [c] + 37.00 * L-valine [c] --> 1866.00 * ADP [c] + 1866.00 * hydrogenphosphate [c] + 622.00 * AMP [c] + 622.00 * Diphosphate [c] + 1.00 * Prothrombin [c]
F2",0
r1105,T9 Protein assembly,Exchange/demand reaction,4282,N/A,TFRC,"2792.00 * Water [c] + 2792.00 * ATP [c] + 42.00 * L-glutamate(1-) [c] + 45.00 * L-aspartate(1-) [c] + 34.00 * L-asparagine [c] + 61.00 * L-alanine [c] + 40.00 * L-cysteine [c] + 17.00 * L-glutamine [c] + 52.00 * Glycine [c] + 41.00 * L-serine [c] + 30.00 * L-threonine [c] + 58.00 * L-lysinium(1+) [c] + 27.00 * L-argininium(1+) [c] + 10.00 * L-methionine [c] + 19.00 * L-histidine [c] + 26.00 * L-tyrosine [c] + 15.00 * L-isoleucine [c] + 65.00 * L-leucine [c] + 8.00 * L-tryptophan [c] + 28.00 * L-phenylalanine [c] + 32.00 * L-proline [c] + 48.00 * L-valine [c] --> 2094.00 * ADP [c] + 2094.00 * hydrogenphosphate [c] + 698.00 * AMP [c] + 698.00 * Diphosphate [c] + 1.00 * ApoTransferin [c]
TFRC",0
r1106,Postulated transport reaction,"Transport, extracellular",4283,N/A,,"1.00 * Riboflavin [e] --> 1.00 * Riboflavin [c]
No genes",0
r1109,Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- -->acetate) Citrate cycle (TCA cycle) EC:4.1.3.6,Unassigned,4284,4.1.3.6,,"1.00 * Citrate [m] --> 1.00 * acetate [m] + 1.00 * Oxaloacetate [m]
No genes",0
r1112,Apo-E Protein assembly,Exchange/demand reaction,4285,4.1.3.6,APOE,"1268.00 * Water [c] + 1268.00 * ATP [c] + 40.00 * L-glutamate(1-) [c] + 11.00 * L-aspartate(1-) [c] + 1.00 * L-asparagine [c] + 39.00 * L-alanine [c] + 2.00 * L-cysteine [c] + 32.00 * L-glutamine [c] + 18.00 * Glycine [c] + 14.00 * L-serine [c] + 12.00 * L-threonine [c] + 13.00 * L-lysinium(1+) [c] + 34.00 * L-argininium(1+) [c] + 8.00 * L-methionine [c] + 2.00 * L-histidine [c] + 4.00 * L-tyrosine [c] + 2.00 * L-isoleucine [c] + 41.00 * L-leucine [c] + 8.00 * L-tryptophan [c] + 4.00 * L-phenylalanine [c] + 8.00 * L-proline [c] + 24.00 * L-valine [c] --> 951.00 * ADP [c] + 951.00 * hydrogenphosphate [c] + 317.00 * AMP [c] + 317.00 * Diphosphate [c] + 1.00 * ApoE [c]
APOE",0
r1113,Apo-AI Protein assembly,Exchange/demand reaction,4286,4.1.3.6,APOA1,"1068.00 * Water [c] + 1068.00 * ATP [c] + 30.00 * L-glutamate(1-) [c] + 16.00 * L-aspartate(1-) [c] + 5.00 * L-asparagine [c] + 23.00 * L-alanine [c] + 19.00 * L-glutamine [c] + 11.00 * Glycine [c] + 16.00 * L-serine [c] + 12.00 * L-threonine [c] + 22.00 * L-lysinium(1+) [c] + 17.00 * L-argininium(1+) [c] + 4.00 * L-methionine [c] + 6.00 * L-histidine [c] + 7.00 * L-tyrosine [c] + 41.00 * L-leucine [c] + 5.00 * L-tryptophan [c] + 8.00 * L-phenylalanine [c] + 10.00 * L-proline [c] + 15.00 * L-valine [c] --> 801.00 * ADP [c] + 801.00 * hydrogenphosphate [c] + 267.00 * AMP [c] + 267.00 * Diphosphate [c] + 1.00 * ApoA1 [c]
APOA1",0
r1116,ATP Exporter (ATP-E) TCDB:9.A.6.1.1,"Transport, extracellular",4287,N/A,,"1.00 * ATP [c] --> 1.00 * ATP [e]
No genes",0
r1117,Facilitated diffusion,"Transport, mitochondrial",4288,N/A,,"1.00 * dTMP [c] --> 1.00 * dTMP [m]
No genes",0
r1127,Transport reaction,"Transport, endoplasmic reticular",4289,N/A,,"1.00 * ApoB100 [c] --> 1.00 * ApoB100 [r]
No genes",0
r1128,Transport reaction,"Transport, endoplasmic reticular",4290,N/A,,"1.00 * ApoE [c] --> 1.00 * ApoE [r]
No genes",0
r1129,Transport reaction,"Transport, endoplasmic reticular",4291,N/A,,"1.00 * ApoA1 [c] --> 1.00 * ApoA1 [r]
No genes",0
r1130,Transport reaction,"Transport, lysosomal",4292,N/A,,"1.00 * ApoA1 [e] --> 1.00 * ApoA1 [l]
No genes",0
r1131,Transport reaction,"Transport, endoplasmic reticular",4293,N/A,,"1.00 * ApoC1 [c] --> 1.00 * ApoC1 [r]
No genes",0
r1132,Transport reaction,"Transport, endoplasmic reticular",4294,N/A,,"1.00 * ApoC2 [c] --> 1.00 * ApoC2 [r]
No genes",0
r1133,Transport reaction,"Transport, endoplasmic reticular",4295,N/A,,"1.00 * ApoC3 [c] --> 1.00 * ApoC3 [r]
No genes",0
r1134,methylsterol monooxygenase Biosynthesis of steroids EC:1.14.13.72,Unassigned,4296,1.14.13.72,,"2.00 * O2 [r] + 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * 14-demethyllanosterol [r] --> 2.00 * Water [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 4alpha-Methylzymosterol-4-carboxylate [r]
No genes",0
r1135,hydroxysteroid (17-beta) dehydrogenase 7  Biosynthesis of steroids EC:1.1.1.270,Unassigned,4297,1.1.1.270,HSD17B7,"3.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 3-Keto-4-methylzymosterol [r] --> 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * 4alpha-Methylzymosterol [r]
HSD17B7",0
r1136,sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) Biosynthesis of steroids EC:1.1.1.170,Unassigned,4298,1.1.1.170,,"1.00 * Nicotinamide adenine dinucleotide phosphate [r] + 1.00 * 4alpha-Methylzymosterol-4-carboxylate [r] --> 1.00 * proton [r] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [r] + 1.00 * carbon dioxide [r] + 1.00 * 3-Keto-4-methylzymosterol [r]
No genes",0
r1137,NAD(P) dependent steroid dehydrogenase-like  EC:1.1.1.170,Unassigned,4299,1.1.1.170,,"1.00 * Nicotinamide adenine dinucleotide [r] + 1.00 * 4alpha-Methylzymosterol-4-carboxylate [r] --> 1.00 * proton [r] + 1.00 * carbon dioxide [r] + 1.00 * Nicotinamide adenine dinucleotide - reduced [r] + 1.00 * 3-Keto-4-methylzymosterol [r]
No genes",0
r1140,Vesicular transport,"Transport, lysosomal",4300,1.1.1.170,,"1.00 * L-valine [l] --> 1.00 * L-valine [c]
No genes",0
r1143,Major Facilitator(MFS) TCDB:2.A.18.6.3,"Transport, extracellular",4301,N/A,SLC38A3,"1.00 * Sodium [e] + 1.00 * L-aspartate(1-) [e] --> 1.00 * Sodium [c] + 1.00 * L-aspartate(1-) [c]
SLC38A3",0
r1144,Major Facilitator(MFS) TCDB:2.A.18.6.3,"Transport, extracellular",4302,N/A,SLC38A3,"1.00 * Sodium [e] + 1.00 * L-glutamate(1-) [e] --> 1.00 * Sodium [c] + 1.00 * L-glutamate(1-) [c]
SLC38A3",0
r1146,Biosynthesis of steroids Enzyme catalyzed,"Transport, mitochondrial",4303,N/A,,"2.00 * Water [r] + 1.00 * 4alpha-Methylzymosterol [r] --> 1.00 * carbon dioxide [r] + 1.00 * zymosterol [r]
No genes",0
r1147,Mitochondrial Carrier (MC) TCDB:2.A.29.7.2,"Transport, peroxisomal",4304,N/A,SLC25A1,"1.00 * 2-Oxoglutarate [c] + 1.00 * Isocitrate [m] --> 1.00 * 2-Oxoglutarate [m] + 1.00 * Isocitrate [c]
SLC25A1",0
r1148,Active transport,"Transport, peroxisomal",4305,N/A,,"1.00 * 2-Oxoglutarate [c] + 1.00 * Isocitrate [x] --> 1.00 * Isocitrate [c] + 1.00 * 2-Oxoglutarate [x]
No genes",0
r1150,Facilitated diffusion,"Transport, lysosomal",4306,N/A,,"1.00 * hydrogenphosphate [l] --> 1.00 * hydrogenphosphate [c]
No genes",0
r1154,EC:1.2.7.2,Propanoate metabolism,4307,1.2.7.2,BCKDHA; BCKDHB; DBT; DLD,"1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] + 1.00 * 2-Oxobutanoate [m] --> 1.00 * carbon dioxide [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m] + 1.00 * Propanoyl-CoA [m]
BCKDHA; BCKDHB; DBT; DLD",0
r1155,TCDB:2.A.1.13.5 TCDB:2.A.1.13.1,"Transport, mitochondrial",4308,N/A,SLC16A1; SLC16A7,"1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] --> 1.00 * proton [m] + 1.00 * 2-Oxobutanoate [m]
SLC16A1; SLC16A7",0
r1156,dUTP:uridine 5-phosphotransferase Pyrimidine metabolism EC:2.7.1.48,Nucleotide interconversion,4309,2.7.1.48,UCK1; UCK2; UCKL1,"1.00 * Uridine [c] + 1.00 * dUTP [c] --> 1.00 * proton [c] + 1.00 * dUDP [c] + 1.00 * UMP [c]
UCK1; UCK2; UCKL1",0
r1159,Vesicular transport,"Transport, endoplasmic reticular",4310,2.7.1.48,,"1.00 * CDPcholine [c] --> 1.00 * CDPcholine [r]
No genes",0
r1162,Active transport,"Transport, extracellular",4311,N/A,,"1.00 * Water [c] + 1.00 * ATP [c] + 1.00 * sulfate [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * hydrogenphosphate [c] + 1.00 * sulfate [e]
No genes",0
r1163,Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter TCDB:2.A.28.1.1,"Transport, extracellular",4312,N/A,SLC10A1,"1.00 * Sodium [e] + 1.00 * glycocholate [e] --> 1.00 * Sodium [c] + 1.00 * glycocholate [c]
SLC10A1",0
r1164,EC:2.3.1.26,Unassigned,4313,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * Palmitoyl-CoA (n-C16:0CoA) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-palm [r]
SOAT1; SOAT2",0
r1165,EC:2.3.1.26,Unassigned,4314,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * trans-Hexadec-2-enoyl-CoA [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-palmn [r]
SOAT1; SOAT2",0
r1166,EC:2.3.1.26,Unassigned,4315,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * Stearoyl-CoA (n-C18:0CoA) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-stea [r]
SOAT1; SOAT2",0
r1167,EC:2.3.1.26,Unassigned,4316,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * Octadecenoyl-CoA (n-C18:1CoA) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-ol [r]
SOAT1; SOAT2",0
r1168,EC:2.3.1.26,Unassigned,4317,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * linoleic coenzyme A [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-lin [r]
SOAT1; SOAT2",0
r1169,EC:2.3.1.26,Unassigned,4318,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * gamma-linolenoyl-CoA(4-) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-ala [r]
SOAT1; SOAT2",0
r1170,EC:2.3.1.26,Unassigned,4319,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * gamma-linolenoyl-CoA(4-) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-gla [r]
SOAT1; SOAT2",0
r1171,EC:2.3.1.26,Unassigned,4320,2.3.1.26,SOAT1; SOAT2,"1.00 * cholesterol [r] + 1.00 * arachidonoyl-CoA(4-) [r] --> 1.00 * Coenzyme A [r] + 1.00 * Cholesterol-ester-arach [r]
SOAT1; SOAT2",0
r1172,EC:3.1.1.13,Unassigned,4321,3.1.1.13,CEL; LIPA,"1.00 * Water [r] + 1.00 * Cholesterol-ester-palm [r] --> 1.00 * proton [r] + 1.00 * cholesterol [r] + 1.00 * Hexadecanoate (n-C16:0) [r]
CEL; LIPA",0
r1173,EC:3.1.1.13,Unassigned,4322,3.1.1.13,CEL; LIPA,"1.00 * Water [l] + 1.00 * Cholesterol-ester-palm [l] --> 1.00 * proton [l] + 1.00 * cholesterol [l] + 1.00 * Hexadecanoate (n-C16:0) [l]
CEL; LIPA",0
r1174,EC:3.1.1.13,Unassigned,4323,3.1.1.13,CEL; LIPA,"1.00 * Water [r] + 1.00 * Cholesterol-ester-palmn [r] --> 1.00 * proton [r] + 1.00 * cholesterol [r] + 1.00 * Hexadecenoate (n-C16:1) [r]
CEL; LIPA",0
